Co_Ref,Prospect_Outcome,Prospect_Renewal_Date,Call_Date,Membership_Renewal_Decision,Serious_Complaint,Other_Complaint,Discussion_on_Price_Increase,Renewal_Impact_Due_to_Price_Increase,Discount_or_Waiver_Requested,Call_Reschedule_Request,Explicit_Competitor_Mention,Explicit_Switching_Intent,Mentioned_Competitors,Desire_To_Cancel,Discount_Offered,Call_Number,call_year,rc_flag
AE2866,Won,2025-02-10,2025-01-21,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE2871,Churned,2025-03-21,,,,,,,,,,,,,,,,0
AE3575,Won,2025-01-17,,,,,,,,,,,,,,,,0
AE3575,Won,2026-01-17,,,,,,,,,,,,,,,,0
AE4321,Won,2025-10-11,2025-09-12,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE4702,Won,2025-02-28,2025-02-14,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE4711,Won,2025-12-11,2025-11-19,Yes,No,No,No,Yes,No,No,No,No,No,Desired to Cancel,No,1.0,2025.0,1
AE4799,Won,2024-06-23,2024-06-04,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AE4912,Won,2024-10-10,,,,,,,,,,,,,,,,0
AE4912,Won,2023-10-10,,,,,,,,,,,,,,,,0
AE5236,Churned,2024-01-21,,,,,,,,,,,,,,,,0
AE5236,Won,2023-01-21,,,,,,,,,,,,,,,,0
AE5370,Won,2025-04-11,2025-03-24,No,unknown,unknown,Yes,Yes,No,No,No,No,Yes,Desired to Cancel,No,3.0,2025.0,1
AE5387,Won,2025-03-31,2025-03-10,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE5744,Won,2026-01-19,,,,,,,,,,,,,,,,0
AE5744,Won,2025-01-19,,,,,,,,,,,,,,,,0
AE5744,Won,2024-01-19,,,,,,,,,,,,,,,,0
AE5744,Won,2023-01-19,,,,,,,,,,,,,,,,0
AE5755,Won,2025-05-18,,,,,,,,,,,,,,,,0
